id,title,genres,averageRating,numVotes,releaseYear,Animated
tt14452776,The Bear,"Comedy, Drama",8.6,250130,2022,no
tt0979432,Boardwalk Empire,"Crime, Drama",8.6,206536,2010,no
tt2788316,Shogun,"Adventure, Drama, History",8.6,182298,2024,no
tt1486217,Archer,"Action, Comedy",8.6,168529,2009,yes
tt9335498,Demon Slayer: Kimetsu no Yaiba,"Action, Adventure",8.6,167790,2019,yes
tt0096657,Mr. Bean,"Comedy, Family",8.6,137352,1990,no
tt1870479,The Newsroom,Drama,8.6,126995,2012,no
tt1489428,Justified,"Action, Crime, Drama",8.6,121633,2010,no
tt0348914,Deadwood,"Crime, Drama, History",8.6,120211,2004,no
tt1305826,Adventure Time,"Action, Adventure",8.6,117013,2010,yes
tt7908628,What We Do in the Shadows,"Comedy, Fantasy, Horror",8.6,108443,2019,no
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,90877,2016,no
tt9174558,Dopesick,Drama,8.6,82067,2021,no
tt1733785,The Bridge,"Crime, Mystery, Thriller",8.6,78384,2011,no
tt5421602,Anne with an E,"Drama, Family",8.6,69602,2017,no
tt4299972,The Jinx: The Life and Deaths of Robert Durst,"Biography, Crime, Documentary",8.6,54333,2015,no
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,53560,1989,no
tt0088484,Blackadder II,Comedy,8.6,50679,1986,no
tt5897304,Mob Psycho 100,"Action, Comedy",8.6,49474,2016,yes
tt0092324,Blackadder the Third,Comedy,8.6,47760,1987,no
tt2100976,Impractical Jokers,"Comedy, Reality-TV",8.6,47059,2011,no
tt1641384,Young Justice,"Action, Adventure",8.6,46676,2010,yes
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,45548,2014,no
tt13111040,The Offer,"Biography, Crime, Drama",8.6,42479,2022,no
tt5288312,Skam,"Drama, Romance",8.6,39572,2015,no
tt11854694,Special OPS,"Action, Crime, Thriller",8.6,38133,2020,no
tt9140342,It's a Sin,"Comedy, Drama, History",8.6,37851,2021,no
tt12451520,It's Okay to Not Be Okay,"Comedy, Drama, Romance",8.6,37350,2020,no
tt0053488,The Bugs Bunny Show,Comedy,8.6,36149,1960,yes
tt0417349,North & South,"Drama, Romance",8.6,35597,2004,no
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,34499,2012,no
tt0380136,QI,"Comedy, Game-Show",8.6,34009,2003,no
tt7562112,Pose,Drama,8.6,33679,2018,no
tt1983079,Call the Midwife,"Drama, History",8.6,32436,2012,no
tt4647692,Letterkenny,Comedy,8.6,30806,2016,no
tt5994364,Guardian: The Lonely and Great God,"Comedy, Drama, Fantasy",8.6,30194,2016,no
tt20869502,Extraordinary Attorney Woo,Drama,8.6,29355,2022,no
tt0417373,The Venture Bros.,"Action, Adventure",8.6,28561,2003,yes
tt4156586,Permanent Roommates,"Comedy, Romance",8.6,26501,2014,no
tt0094517,Mystery Science Theater 3000,"Comedy, Sci-Fi",8.6,26145,1988,no
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,25296,2013,no
tt21056886,Scavengers Reign,"Adventure, Drama",8.6,23522,2023,yes
tt2244495,The Eric Andre Show,"Comedy, Talk-Show",8.6,22316,2012,no
tt0129690,I'm Alan Partridge,Comedy,8.6,22297,1997,no
tt4082744,Detectorists,Comedy,8.6,22276,2014,no
tt0421291,Avrupa Yakasi,Comedy,8.6,21851,2004,no
tt2311418,Isler Güçler,Comedy,8.6,21486,2012,no
tt8050756,The Owl House,"Action, Adventure",8.6,20979,2020,yes
tt7278862,My Brilliant Friend,Drama,8.6,18953,2018,no
tt0310455,Foyle's War,"Crime, Drama, Mystery",8.6,18821,2002,no
tt1513168,Through the Wormhole,Documentary,8.6,18549,2010,no
tt10590066,All Creatures Great & Small,"Comedy, Drama",8.6,17981,2020,no
tt9814458,Bandish Bandits,"Drama, Music, Romance",8.6,17858,2020,no
tt3671754,Kardes Payi,"Comedy, Drama, Family",8.6,17441,2014,no
tt0203082,Rurouni Kenshin: Trust and Betrayal,"Action, Adventure",8.6,16587,1999,yes
tt0403778,Long Way Round,"Adventure, Documentary",8.6,15522,2004,no
tt17513352,Twenty Five Twenty One,"Drama, Romance",8.6,15362,2022,no
tt15614372,Tear Along the Dotted Line,"Comedy, Drama",8.6,15131,2021,yes
tt6385540,Hilda,"Adventure, Drama",8.6,14447,2018,yes
tt0120570,From the Earth to the Moon,"Action, Drama, History",8.6,13469,1998,no
tt1877368,The Great British Baking Show,"Game-Show, Reality-TV",8.6,13269,2010,no
tt0086831,"Yes, Prime Minister",Comedy,8.6,13258,1986,no
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12381,2021,no
tt5320412,Moon Lovers: Scarlet Heart Ryeo,"Action, Drama, Fantasy",8.6,12282,2016,no
tt0118273,Brass Eye,Comedy,8.6,11745,1997,no
tt13400006,Mr. Queen,"Comedy, Fantasy, Romance",8.6,11694,2020,no
tt9103932,Greatest Events of WWII in Colour,"Documentary, History, War",8.6,11341,2019,no
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10466,2019,no
tt31862849,Very Parivarik,Comedy,8.6,10198,2024,no
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10186,2015,no
tt0426719,Hunter x Hunter,"Action, Adventure",8.6,10160,1999,yes
tt9304350,Fruits Basket,"Comedy, Drama",8.6,10073,2019,yes
tt2306299,Vikings,"Action, Adventure, Drama",8.5,600060,2013,no
tt10048342,The Queen's Gambit,Drama,8.5,582404,2020,no
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,540937,2016,no
tt1442437,Modern Family,"Comedy, Drama, Romance",8.5,499325,2009,no
tt4158110,Mr. Robot,"Crime, Drama, Thriller",8.5,428571,2015,no
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,357251,2017,no
tt6763664,The Haunting of Hill House,"Drama, Horror, Mystery",8.5,299104,2018,no
tt1439629,Community,Comedy,8.5,298736,2009,no
tt1586680,Shameless,"Comedy, Drama",8.5,298362,2011,no
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,283205,2013,no
tt0149460,Futurama,"Adventure, Comedy",8.5,266167,1999,yes
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,261124,2010,no
